date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:35	120/120	---MCZ	200	added ('OK')	text/plain	date:Wed,%2022%20May%202024%2003:44:05%20GMT	https://siraplimau.com/robots.txt		(from )
11:44:37	181917/181917	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2003:44:38%20GMT	https://siraplimau.com/8-tips-keluarga-bahagia-menurut-islam-dari-ustazah-siti-nor-bahyah-mahamood/	C:/8%20Tips%20Keluarga%20Bahagia%20Menurut%20Islam/siraplimau.com/8-tips-keluarga-bahagia-menurut-islam-dari-ustazah-siti-nor-bahyah-mahamood/index.html	(from )
11:44:37	1142/1142	---M--	200	added ('OK')	image/png	etag:%22fdc15c1d89778aafb2d4f4cc3ee12337%22	https://media.siraplimau.com/wp-content/uploads/2018/12/favicon-32x32.png	C:/8%20Tips%20Keluarga%20Bahagia%20Menurut%20Islam/media.siraplimau.com/wp-content/uploads/2018/12/favicon-32x32.png	(from https://siraplimau.com/8-tips-keluarga-bahagia-menurut-islam-dari-ustazah-siti-nor-bahyah-mahamood/)
11:44:38	1132/1132	---MCZ	200	added ('OK')	text/css	etag:W/%22fc2a34ee3689be25b96a81b966bc7cd8%22	https://policy.revasia.com/cookie.consent.css	C:/8%20Tips%20Keluarga%20Bahagia%20Menurut%20Islam/policy.revasia.com/cookie.consent.css	(from https://siraplimau.com/8-tips-keluarga-bahagia-menurut-islam-dari-ustazah-siti-nor-bahyah-mahamood/)
11:44:39	50535/50535	---M--	200	added ('OK')	image/jpeg	etag:%2218762477fa3c5e0028f8f19a22f1ceb8%22	https://media.siraplimau.com/wp-content/uploads/2013/10/tips-keluarga-bahagia-islam-ustazah-nor-bahyah-1000x600.jpg	C:/8%20Tips%20Keluarga%20Bahagia%20Menurut%20Islam/media.siraplimau.com/wp-content/uploads/2013/10/tips-keluarga-bahagia-islam-ustazah-nor-bahyah-1000x600.jpg	(from https://siraplimau.com/8-tips-keluarga-bahagia-menurut-islam-dari-ustazah-siti-nor-bahyah-mahamood/)
11:44:39	78252/78252	---M--	200	added ('OK')	image/jpeg	etag:%22a0ebcd3b1360e7621052b85d7243bf26%22	https://media.siraplimau.com/wp-content/uploads/2013/10/tips-keluarga-bahagia-islam-ustazah-nor-bahyah.jpg	C:/8%20Tips%20Keluarga%20Bahagia%20Menurut%20Islam/media.siraplimau.com/wp-content/uploads/2013/10/tips-keluarga-bahagia-islam-ustazah-nor-bahyah.jpg	(from https://siraplimau.com/8-tips-keluarga-bahagia-menurut-islam-dari-ustazah-siti-nor-bahyah-mahamood/)
11:44:39	51338/51338	---MCZ	200	added ('OK')	text/css	etag:W/%2266012141-c88a%22	https://siraplimau.com/wp/wp-includes/css/dist/block-library/style.min.css?ver=5.6.2	C:/8%20Tips%20Keluarga%20Bahagia%20Menurut%20Islam/siraplimau.com/wp/wp-includes/css/dist/block-library/style.min4c7e.css	(from https://siraplimau.com/8-tips-keluarga-bahagia-menurut-islam-dari-ustazah-siti-nor-bahyah-mahamood/)
11:44:39	110111/110111	---MCZ	200	added ('OK')	text/css	etag:W/%2266012141-1ae1f%22	https://siraplimau.com/wp/wp-includes/css/dist/components/style.min.css?ver=5.6.2	C:/8%20Tips%20Keluarga%20Bahagia%20Menurut%20Islam/siraplimau.com/wp/wp-includes/css/dist/components/style.min4c7e.css	(from https://siraplimau.com/8-tips-keluarga-bahagia-menurut-islam-dari-ustazah-siti-nor-bahyah-mahamood/)
11:44:40	84143/84143	---MCZ	200	added ('OK')	text/css	etag:W/%2266012141-148af%22	https://siraplimau.com/wp/wp-includes/css/dist/block-editor/style.min.css?ver=5.6.2	C:/8%20Tips%20Keluarga%20Bahagia%20Menurut%20Islam/siraplimau.com/wp/wp-includes/css/dist/block-editor/style.min4c7e.css	(from https://siraplimau.com/8-tips-keluarga-bahagia-menurut-islam-dari-ustazah-siti-nor-bahyah-mahamood/)
11:44:40	2510/2510	---MCZ	200	added ('OK')	text/css	etag:W/%2266012141-9ce%22	https://siraplimau.com/wp/wp-includes/css/dist/nux/style.min.css?ver=5.6.2	C:/8%20Tips%20Keluarga%20Bahagia%20Menurut%20Islam/siraplimau.com/wp/wp-includes/css/dist/nux/style.min4c7e.css	(from https://siraplimau.com/8-tips-keluarga-bahagia-menurut-islam-dari-ustazah-siti-nor-bahyah-mahamood/)
